bedrijf;type;plaats;adres;email;telefoon;website;dolce_cilento_producten;bron_productpagina
Gall & Gall;Landelijke slijterijketen + webshop;Landelijk;;klantenservice@gall.nl;088-6594200;https://www.gall.nl;Meloncello, Watermeloncello, Limoncello (70cl);https://www.gall.nl/dolce-cilento-meloncello-70cl-424889.html
úw topSlijter (hoofdkantoor / inkooporganisatie);Inkooporganisatie van 110-140 zelfstandige slijterijen;Hoevelaken;Drs. W. van Royenstraat 3, 3871 AN Hoevelaken;info@topslijter.nl;0541-585018;https://www.uwtopslijter.nl;"Meloncello staat als ""Exclusief topSlijter"" in het centrale assortiment";https://www.uwtopslijter.nl/assortiment/489605/exclusief-topslijter
Budgetwijnen.nl;Webshop + winkel;Haaksbergen;Spoorstraat 43, 7481 HW Haaksbergen;info@budgetwijnen.nl;085-2737522;https://www.budgetwijnen.nl;Meloncello, Crema di Meloncello, Limoncello, Crema di Nocciole, Crema di Pistacchio;https://www.budgetwijnen.nl/dolce-cilento-meloncello-0-70ltr
Budgetdranken.nl (ook Drankgeschenken.nl);Webshop + winkel;Haaksbergen;Spoorstraat 43, 7481 HW Haaksbergen;info@budgetdranken.nl;085-2737523;https://www.budgetdranken.nl;Crema di Meloncello, Limoncello, Crema di Nocciole, Crema di Pistacchio;https://www.budgetdranken.nl/dolce-cilento-crema-di-meloncello-0-70ltr
Drankenhandel Leiden;Slijterij + webshop;Leiden;Zeemanlaan 22B, 2313 SZ Leiden;info@drankenhandelleiden.nl;071-2400285;https://www.drankenhandelleiden.nl;Meloncello;https://www.drankenhandelleiden.nl/dolce-cilento-meloncello-70cl.html
Drank Expert;Slijterij + webshop;Zevenaar;Kerkstraat 4, 6901 AB Zevenaar;info@drankexpert.nl;0316-524663;https://www.drankexpert.nl;Meloncello;https://www.drankexpert.nl/vruchten-likeur/meloncello-dolce-cilento-70cl
Slijterij De Wijnstok;Slijterij + wijnhandel;Delft;Fred. Hendrikstraat 34a, 2628 TC Delft;b.kooiman@de-wijnstok.nl;015-2568567;https://www.de-wijnstok.nl;Crema di Meloncello, Crema di Pistacchio;https://www.de-wijnstok.nl/product/crema-di-meloncello-70-cl-17-vol/
Arthur & Co;Slijterij + wijnhandel;Purmerend;John F. Kennedyplein 61, 1443 EB Purmerend;info@arthurenco.nl;0299-425726;https://arthurenco.nl;Crema di Meloncello;https://arthurenco.nl/product/dolce-cilento-crema-di-meloncello-070lt/
Slijterij-Wijnhandel De Helm;Slijterij + wijnhandel;Pijnacker;Kerkweg 18, 2641 GD Pijnacker;info@dehelm.nl;015-3693434;https://www.slijterijdehelm.nl;Meloncello, Crema di Meloncello, Watermeloncello, Crema di Nocciole, Crema di Pistacchio;https://www.slijterijdehelm.nl/winkel/likeur/dolce-cilento-meloncello/
Slijterij De Kolkrijst (topSlijter);Slijterij;Hoogland (Amersfoort);Zevenhuizerstraat 151, 3828 PT Hoogland;info@slijterijdekolkrijst.nl;033-4553000;https://www.slijterijdekolkrijst.nl;Meloncello;https://www.slijterijdekolkrijst.nl/webshop/183709/likeur/2301957/dolce-cilento-meloncello
Ketelbinkie Slijterij & Wijnhandel;Slijterij + wijnhandel;Rotterdam (Ommoord);Binnenhof 2, 3069 KV Rotterdam;contact@slijterijketelbinkie.nl;010-3033252;https://slijterijketelbinkie.nl;Crema di Meloncello;https://slijterijketelbinkie.nl/premixen/Dolce-Cilento-Crema-di-Meloncello-p719554115
Simonsdrank.nl (Simon Kaas & Noten);Webshop + winkel;Heemskerk;Ruysdaelstraat 33, 1961 RM Heemskerk;info@simonsdrank.nl;0251-255695;https://simonsdrank.nl;Crema di Meloncello, Crema di Pistacchio;https://simonsdrank.nl/product/likeur/dolce-cilento-crema-di-meloncello/
First Class Spirits (Wijnhuis Den Boer, topSlijter);Slijterij + webshop;Krimpen aan de Lek;Hoofdstraat 29, 2931 CE Krimpen aan de Lek;info@wijnhuisdenboer.nl;0180-512277;https://www.firstclassspirits.com;Meloncello, Crema di Nocciole, Crema di Pistacchio;https://www.firstclassspirits.com/webshop/alle-likeuren/buitenlandse-likeuren/dolce-cilento-meloncello/
SlijterijLeiden.nl / Wijnhandel Jan Toet (Het Gemak Van);Slijterij + webshop;Leiden;Diamantplein 1, 2332 HR Leiden;info@hetgemakvan.nl;071-5764907;https://www.slijterijleiden.nl;Meloncello, Crema di Meloncello, Limoncello, Crema di Nocciole, Crema di Pistacchio;https://www.slijterijleiden.nl/Dolce-Cilento-Meloncello
